#FILE DI CONFIGURAZIONE PER I VARI LIVELLI, DI SEGUITO VENGONO RIPORTATI GLI STATI INIZIALI DEI "BRICKS"

1 = 0,0,4,6,1,0,0,0,0,0,4,6,1,0,0,0,0,0,4,0,1,0,0,0,0,0,4,0,1,0,0,0,0,0,4,0,1,0,0,0,0,0,4,0,1,0,0,0,0,0,4,0,1,0,0,0,0,0,4,0,1,0,0,0,0,0,4,0,1,0,0,0,0,0,4,0,1,0,0,0,0,0,4,6,1,0,0,0,0,0,4,6,1,0,0,0
2 = 0,0,0,4,4,0,0,0,0,0,0,4,4,0,0,0,0,3,0,4,4,0,3,0,0,0,0,4,4,0,0,0,0,0,0,4,4,0,0,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,0,0,4,4,0,0,0,0,0,0,4,4,0,0,0,0,3,0,4,4,0,3,0,0,0,0,4,4,0,0,0,0,0,0,4,4,0,0,0
3 = 0,0,0,0,0,2,1,1,0,0,0,0,2,1,1,0,0,0,0,2,1,1,0,0,0,0,2,1,1,0,0,0,0,2,1,1,0,0,0,0,2,1,1,6,0,0,0,0,2,1,1,6,0,0,0,0,0,2,1,1,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,2,1,1
4 = 6,1,2,0,0,0,0,0,6,1,2,0,0,0,0,0,6,1,2,0,0,0,0,0,6,1,2,0,0,0,0,0,4,4,4,4,13,0,0,0,100,0,0,3,3,13,0,0,100,0,0,3,3,13,0,0,4,4,4,4,13,0,0,0,6,1,2,0,0,0,0,0,6,1,2,0,0,0,0,0,6,1,2,0,0,0,0,0,6,1,2,0,0,0,0,0
5 = 0,0,0,13,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,4,0,0,0,0,0,0,4,0,4,0,0,0,0,4,0,5,0,4,0,0,4,0,5,7,5,0,4,100,4,0,5,7,5,0,4,100,0,4,0,5,0,4,0,0,0,0,4,0,4,0,0,0,0,0,0,4,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,13,0,0,0,0
6 = 100,3,4,13,1,0,0,0,100,3,4,13,1,0,0,0,6,3,4,13,1,0,0,0,100,3,4,13,1,0,0,0,100,3,4,13,1,0,0,0,100,3,4,13,1,0,0,0,100,3,4,13,1,0,0,0,100,3,4,13,1,0,0,0,100,3,4,13,1,0,0,0,6,3,4,13,1,0,0,0,100,3,4,13,1,0,0,0,100,3,4,13,1,0,0,0
7 = 1,4,4,0,4,4,4,4,1,4,4,0,4,4,4,4,100,6,6,0,6,6,6,6,1,3,3,0,3,3,3,3,100,3,3,13,3,3,3,3,1,13,13,0,13,0,13,0,1,13,13,0,13,0,13,0,100,3,3,13,3,3,3,3,1,3,3,0,3,3,3,3,100,6,6,0,6,6,6,6,1,4,4,0,4,4,4,4,1,4,4,0,4,4,4,4
8 = 0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,2,0,0,0,0,0,2,2,2,0,0,0,0,1,2,2,2,7,0,0,1,1,2,2,2,7,7,1,1,1,2,2,2,7,7,1,1,1,2,2,2,7,0,0,1,1,2,2,2,0,0,0,0,1,2,2,2,0,0,0,0,0,2,2,2,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,2
9 = 13,5,7,4,3,6,2,1,13,5,7,4,3,6,2,1,13,5,7,4,3,6,2,1,13,5,7,4,3,6,2,1,13,5,7,4,3,6,2,1,13,5,7,4,3,6,2,1,13,5,7,4,3,6,2,1,13,5,7,4,3,6,2,1,13,5,7,4,3,6,2,1,13,5,7,4,3,6,2,1,13,5,7,4,3,6,2,1,13,5,7,4,3,6,2,1
10 = 0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,0,0,13,3,3,4,4,100,0,0,13,6,3,3,4,100,0,0,13,6,6,3,3,100,0,0,13,2,6,6,3,100,0,0,13,2,2,6,6,100,0,0,13,1,2,2,6,100,0,0,13,1,1,2,2,100,0,0,13,7,1,1,2,100,0,0,100,100,100,100,100,100,0,0,0,0,0,0,0,0,0
11 = 0,0,4,1,1,0,0,0,0,3,4,4,1,1,0,0,100,3,3,4,4,1,1,0,3,100,3,3,4,4,1,1,3,3,100,3,3,4,4,1,4,3,3,100,3,3,4,4,4,4,3,3,100,3,3,4,1,4,4,3,3,100,3,3,1,1,4,4,3,3,100,3,0,1,1,4,4,3,3,100,0,0,1,1,4,4,3,0,0,0,0,1,1,4,0,0
12 = 100,100,100,100,100,100,100,100,100,0,0,0,0,0,0,100,100,0,0,0,0,0,0,100,100,0,0,4,4,0,0,100,100,0,0,4,4,0,0,100,0,0,0,3,13,0,0,0,0,0,0,3,13,0,0,0,100,0,0,4,4,0,0,100,100,0,0,4,4,0,0,100,100,0,0,0,0,0,0,100,100,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100
13 = 0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,6,0,0,2,2,2,2,100,6,0,0,1,1,1,2,100,6,0,0,7,7,1,2,100,6,0,0,5,7,1,2,100,6,0,0,5,7,1,2,100,6,0,0,0,7,1,2,100,6,0,0,0,0,1,2,100,6,0,0,0,0,0,2,100,6,0,0,0,0,0,0,100,6,0,0,0,0,0,0,0,6
14 = 4,13,13,0,0,0,0,0,6,4,13,0,0,0,0,0,6,6,4,13,0,0,0,0,0,6,6,4,13,0,0,0,0,0,6,4,13,0,0,0,0,0,6,6,4,13,0,0,0,0,4,6,6,4,13,0,0,0,4,4,6,4,13,0,1,1,1,1,1,6,4,13,1,1,0,0,0,6,4,13,0,0,0,0,6,4,13,0,0,0,0,6,4,13,0,0
15 = 100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0,0,0,0,0,0,0,0,0,7,7,7,7,7,7,100,0,7,100,100,100,100,100,100,0,7,100,100,100,100,100,100,0,7,100,100,100,100,100,100,0,7,100,100,100,100,100,100,0,7,100,100,100,100,100,100,0,7,100,100,100,100,100,100,7,7,100,100,100,100,100,100,7,100,100,100,100,100,100,100
16 = 13,2,0,0,0,0,0,0,13,2,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,2,13,0,2,0,0,0,0,13,13,0,0,13,13,0,0,13,2,0,0,0,0,0,0,2,2,0,13,0,2,0,0,2,0,0,13,0,2,13,13,0,0,0,0,0,0,0,0,0,13,2,2,0,0,2,0,0,13,0,0,0,0,2,13,13
17 = 0,0,0,0,0,100,0,0,0,0,0,0,0,0,100,0,13,0,13,0,13,0,13,100,13,0,13,0,13,0,13,100,13,0,13,0,13,0,13,100,13,0,13,0,13,0,13,100,13,0,13,0,13,0,13,100,13,0,13,0,13,0,13,100,13,0,13,0,13,0,13,100,13,13,13,13,13,13,13,100,0,0,0,0,0,0,100,0,0,0,0,0,0,100,0,0
18 = 7,100,0,0,0,0,0,0,0,0,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,100,0,0,0,0,0,0,0,0,0,2,100,0,7,100,0,0,0,0,0,0,7,100,0,0,0,0,0,0,0,0,0,0,0,2,100,0,0,0,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,100,0,0,0,0,7,100,0,0,0,0,0,0
19 = 100,100,0,0,0,0,100,100,100,3,0,0,0,0,3,100,100,0,0,0,0,0,0,100,0,2,2,2,2,2,2,0,0,2,1,1,1,1,2,0,0,2,1,100,100,1,2,0,0,2,1,100,100,1,2,0,0,2,1,1,1,1,2,0,0,2,2,2,2,2,2,0,100,0,0,0,0,0,0,100,100,3,0,0,0,0,3,100,100,100,0,0,0,0,100,100
20 = 100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,7,100,100,1,1,100,100,100,7,0,0,1,1,0,0,0,7,0,0,1,1,0,0,0,7,100,100,1,1,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
21 = 13,13,13,0,0,13,13,13,13,3,13,0,0,13,4,13,13,13,13,0,0,13,13,13,0,0,0,0,0,0,0,0,0,13,13,13,0,0,0,0,0,13,6,13,13,13,13,0,0,13,13,13,13,100,13,0,0,0,0,0,13,13,13,0,0,0,0,0,0,0,0,0,13,13,13,0,0,13,13,13,13,2,13,0,0,13,1,13,13,13,13,0,0,13,13,13
22 = 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,13,13,13,13,13,13,13,13,1,1,1,1,1,1,13,13,1,4,4,4,4,1,13,13,1,4,3,3,4,1,13,13,1,4,3,3,4,1,13,13,1,4,4,4,4,1,13,13,1,1,1,1,1,1,13,13,13,13,13,13,13,13,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
